DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|KOD_UPRAWNIENIA|LICZBA
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|55|B1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|55|AM|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|55|B|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|56|B1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|56|AM|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|56|B|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|57|B1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|57|B|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|57|AM|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|58|AM|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|58|B|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|58|B1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|59|AM|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|59|B|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|59|B1|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|61|AM|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|61|B1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|61|B|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|62|B1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|62|AM|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|K|62|B|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|14|AM|7
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|15|AM|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|16|A1|10
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|16|T|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|16|AM|11
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|17|AM|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|17|B1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|17|A1|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|17|T|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|18|B|479
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|18|A1|10
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|18|B+E|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|18|B1|474
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|18|T|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|18|A2|17
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|18|AM|439
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|A1|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|A2|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|AM|165
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|T|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|B|169
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|C|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|C1+E|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|B+E|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|C+E|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|C1|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|19|B1|168
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|C+E|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|A2|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|T|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|A1|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|C|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|A|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|C1+E|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|B+E|7
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|AM|81
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|C1|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|B|81
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|20|B1|81
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|A1|5
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|B|41
